state,year,same_sex,coef,_se
Mississippi,2011,TRUE,0.02087479750458227,0.02055267883345982
Mississippi,2012,FALSE,0,0
Mississippi,2013,TRUE,0.02319470413326388,0.01615222657585256
Mississippi,2014,TRUE,0.01493647705161997,0.00720581138086671
Mississippi,2015,TRUE,0.001392680073642,0.00139644321133734
Mississippi,2016,TRUE,0.00573126724686912,0.00409510657316919
Mississippi,2017,TRUE,0.00625518959313596,0.00623857440312394
Mississippi,2018,TRUE,0.01513136778394236,0.00838263683033
Mississippi,2019,FALSE,0,0
Mississippi,2021,TRUE,0.00683614636046419,0.00493745781831425
Mississippi,2022,TRUE,0.01380516313101275,0.00844041673045567
Missouri,2008,TRUE,0.00624002936484407,0.00320561726812968
Missouri,2009,TRUE,0.01372492423149178,0.00785028914587439
Missouri,2010,TRUE,0.00737925162140269,0.00482858344882637
Missouri,2011,TRUE,0.00453296703296829,0.00391426652190552
Missouri,2012,TRUE,0.0019639891387447,0.0013920480833115
Missouri,2013,TRUE,0.00635308352081174,0.00279226753811726
Missouri,2014,TRUE,0.01914792403863862,0.0082799216874075
Missouri,2015,TRUE,0.00592004404301134,0.00239461781412963
Missouri,2016,TRUE,0.00554186540881838,0.00256511605157515
Missouri,2017,TRUE,0.0039456941737315,0.00197963032094907
Missouri,2018,TRUE,0.00793440327913001,0.00505571433702338
Missouri,2019,TRUE,0.02751852721955684,0.01182260690048559
Missouri,2021,TRUE,0.01276784722993545,0.00422283046354197
Missouri,2022,TRUE,0.00331319430980744,0.00145188657110479
Montana,2008,FALSE,0,0
Montana,2009,TRUE,0.02297371808233444,0.02272486641637485
Montana,2010,FALSE,0,0
Montana,2011,TRUE,0.06599229287090622,0.06279701772981303
Montana,2012,FALSE,0,0
Montana,2013,FALSE,0,0
Montana,2014,FALSE,0,0
Montana,2015,FALSE,0,0
Montana,2016,FALSE,0,0
Montana,2017,TRUE,0.02607540275730481,0.02581751873729608
Montana,2018,FALSE,0,0
Montana,2019,TRUE,0.00709477903756862,0.00714436402435202
Montana,2021,TRUE,0.00420231127123807,0.00425301693250599
Montana,2022,FALSE,0,0
Nebraska,2008,FALSE,0,0
Nebraska,2009,TRUE,0.00637626072957999,0.0063584211677206
Nebraska,2010,FALSE,0,0
Nebraska,2011,TRUE,0.00868426678079909,0.00614491424832594
Nebraska,2012,TRUE,0.01582799243788661,0.01125182746774852
Nebraska,2013,FALSE,0,0
Nebraska,2014,TRUE,0.00297107115020521,0.00297139692420304
Nebraska,2015,TRUE,0.009506052887356,0.00548998015909376
Nebraska,2016,TRUE,0.0016198004405858,0.00162237410085029
