bpld,state,year,opp_sex_stock,same_sex_stock,state_stock_year,bpldid,mean_year_immig
Mexico,Connecticut,2015,206,0,25058,20000,2014.2944305320987
Mexico,Connecticut,2016,150,0,29658,20000,2015.352443651991
Mexico,Connecticut,2017,381,0,32434,20000,2016.300641302337
Mexico,Massachusetts,2008,230,0,12305,20000,2007.3118236472947
Mexico,Massachusetts,2009,110,0,11689,20000,2008.2226665403202
Mexico,Massachusetts,2010,0,54,16309,20000,2009.2768616518617
Mexico,Massachusetts,2011,206,0,12496,20000,2010.3289446185997
Mexico,Massachusetts,2012,362,0,13348,20000,2011.306430356737
Mexico,Massachusetts,2015,294,0,16076,20000,2014.2944305320987
Mexico,Massachusetts,2016,314,64,15115,20000,2015.352443651991
Mexico,Massachusetts,2017,301,0,8810,20000,2016.300641302337
Mexico,Massachusetts,2018,943,0,16119,20000,2017.367358252835
Mexico,Massachusetts,2019,55,83,12448,20000,2018.4234976013956
Mexico,New Hampshire,2015,53,0,1593,20000,2014.2944305320987
Mexico,New Hampshire,2016,261,0,2836,20000,2015.352443651991
Mexico,Rhode Island,2012,1054,0,3299,20000,2011.306430356737
Mexico,Rhode Island,2014,81,0,4277,20000,2013.480650100106
Mexico,Rhode Island,2016,46,0,3543,20000,2015.352443651991
Mexico,Delaware,2009,15,0,15639,20000,2008.2226665403202
Mexico,Delaware,2010,515,0,15098,20000,2009.2768616518617
Mexico,Delaware,2011,223,0,14815,20000,2010.3289446185997
Mexico,Delaware,2016,94,0,16277,20000,2015.352443651991
Mexico,Delaware,2017,156,0,17462,20000,2016.300641302337
Mexico,Delaware,2018,92,0,13884,20000,2017.367358252835
Mexico,New Jersey,2008,664,0,115769,20000,2007.3118236472947
Mexico,New Jersey,2009,581,0,133383,20000,2008.2226665403202
Mexico,New Jersey,2010,765,0,129192,20000,2009.2768616518617
Mexico,New Jersey,2011,231,0,125495,20000,2010.3289446185997
Mexico,New Jersey,2012,83,0,112363,20000,2011.306430356737
Mexico,New Jersey,2013,835,0,129779,20000,2012.280927597642
Mexico,New Jersey,2014,503,0,123519,20000,2013.480650100106
Mexico,New Jersey,2015,588,0,117876,20000,2014.2944305320987
Mexico,New Jersey,2016,844,0,123385,20000,2015.352443651991
Mexico,New Jersey,2017,706,0,122971,20000,2016.300641302337
Mexico,New Jersey,2018,1211,47,107599,20000,2017.367358252835
Mexico,New Jersey,2019,906,0,108194,20000,2018.4234976013956
