yrimmig,bpld,n_dif_sex,n_same_sex,n_spouse_dif_sex,n_spouse_same_sex,n_partner_dif_sex,n_partner_same_sex,n_spouse_oneimm_dif_sex,n_spouse_oneimm_same_sex,n_partner_oneimm_dif_sex,n_partner_oneimm_same_sex,n_spouse_adj_dif_sex,n_spouse_adj_same_sex,n_partner_adj_dif_sex,n_partner_adj_same_sex,n_spouse_2019_dif_sex,n_spouse_2019_same_sex,n_spouse_pre_2019_dif_sex,n_spouse_pre_2019_same_sex,n_partner_2019_dif_sex,n_partner_2019_same_sex,n_partner_pre_2019_dif_sex,n_partner_pre_2019_same_sex,n_total,n_spouse,n_partner,bpldid,prop_spouse_same_sex_adj,prop_partner_same_sex_adj,prop_same_sex_adj,prop_dif_sex,prop_spouse_same_sex,prop_partner_same_sex,prop_same_sex,prop_same_sex_oneimm
1940,Spain,1,0,1,0,0,0,1,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,Austria,2,0,2,0,0,0,2,0,0,0,0.9359999999999999,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,45000,NA,NA,NA,NA,NA,NA,NA,NA
1940,Austria,2,0,2,0,0,0,2,0,0,0,0.9359999999999999,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,Germany,13,0,13,0,0,0,6,0,0,0,6.463,0,0,0,0,0,13,0,0,0,0,0,NA,NA,NA,45300,NA,NA,NA,NA,NA,NA,NA,NA
1940,Germany,13,0,13,0,0,0,6,0,0,0,6.463,0,0,0,0,0,13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,Romania,1,0,1,0,0,0,0,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,45600,NA,NA,NA,NA,NA,NA,NA,NA
1940,Romania,1,0,1,0,0,0,0,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,China,1,0,1,0,0,0,0,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,50000,NA,NA,NA,NA,NA,NA,NA,NA
1940,Philippines,2,0,2,0,0,0,2,0,0,0,0.9359999999999999,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,51500,NA,NA,NA,NA,NA,NA,NA,NA
1940,Philippines,2,0,2,0,0,0,2,0,0,0,0.9359999999999999,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,Turkey,1,0,1,0,0,0,0,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,54200,NA,NA,NA,NA,NA,NA,NA,NA
1940,Turkey,1,0,1,0,0,0,0,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,Australia,1,0,1,0,0,0,1,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,70010,NA,NA,NA,NA,NA,NA,NA,NA
1940,Australia,1,0,1,0,0,0,1,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,Canada,4,0,4,0,0,0,2,0,0,0,1.944,0,0,0,0,0,4,0,0,0,0,0,NA,NA,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA
