State,State_Abb,Year,sodomy_illega,marriage_ban,marriage_equality,civil_union,employment_discrim_so,hate_crime_so,joint_adoption,adoption_religious_freedom,conversion_therapy_ban,housing_discrim_so,state_ban_local_nondiscrimimation,state_couple_laws
Massachusetts,MA,1994,0,0,0,0,1,0,0,0,0,0,0,0
Massachusetts,MA,1995,0,0,0,0,1,0,0,0,0,0,0,0
Massachusetts,MA,1996,0,0,0,0,1,0,0,0,0,0,0,0
Massachusetts,MA,1997,0,0,0,0,1,0,0,0,0,0,0,0
Massachusetts,MA,1998,0,0,0,0,1,0,0,0,0,0,0,0
Massachusetts,MA,1999,0,0,0,0,1,0,0,0,0,0,0,0
Massachusetts,MA,2000,0,0,0,0,1,0,1,0,0,0,0,1
Massachusetts,MA,2001,0,0,0,0,1,0,1,0,0,0,0,1
Massachusetts,MA,2002,0,0,0,0,1,1,1,0,0,0,0,1
Massachusetts,MA,2003,0,0,0,0,1,1,1,0,0,0,0,1
Massachusetts,MA,2004,0,0,1,0,1,1,1,0,0,0,0,2
Massachusetts,MA,2005,0,0,1,0,1,1,1,0,0,0,0,2
Massachusetts,MA,2006,0,0,1,0,1,1,1,0,0,0,0,2
Massachusetts,MA,2007,0,0,1,0,1,1,1,0,0,0,0,2
Massachusetts,MA,2008,0,0,1,0,1,1,1,0,0,0,0,2
Massachusetts,MA,2009,0,0,1,0,1,1,1,0,0,0,0,2
Massachusetts,MA,2010,0,0,1,0,1,1,1,0,0,0,0,2
Massachusetts,MA,2011,0,0,1,0,1,1,1,0,0,1,0,2
Massachusetts,MA,2012,0,0,1,0,1,1,1,0,0,1,0,2
Massachusetts,MA,2013,0,0,1,0,1,1,1,0,0,1,0,2
Massachusetts,MA,2014,0,0,1,0,1,1,1,0,0,1,0,2
Massachusetts,MA,2015,0,0,1,0,1,1,1,0,0,1,0,2
Massachusetts,MA,2016,0,0,1,0,1,1,1,0,0,1,0,2
Massachusetts,MA,2017,0,0,1,0,1,1,1,0,0,1,0,2
Massachusetts,MA,2018,0,0,1,0,1,1,1,0,0,1,0,2
Massachusetts,MA,2019,0,0,1,0,1,1,1,0,0,1,0,2
Massachusetts,MA,2020,0,0,1,0,1,1,1,0,0,1,0,2
Michigan,MI,1991,1,0,0,0,0,0,0,0,0,0,0,-1
Michigan,MI,1992,1,0,0,0,0,0,0,0,0,0,0,-1
Michigan,MI,1993,1,0,0,0,0,0,0,0,0,0,0,-1
Michigan,MI,1994,1,0,0,0,0,0,0,0,0,0,0,-1
Michigan,MI,1995,1,0,0,0,0,0,0,0,0,0,0,-1
Michigan,MI,1996,1,0,0,0,0,0,0,0,0,0,0,-1
Michigan,MI,1997,1,0,0,0,0,0,0,0,0,0,0,-1
Michigan,MI,1998,1,0,0,0,0,0,0,0,0,0,0,-1
Michigan,MI,1999,1,0,0,0,0,0,0,0,0,0,0,-1
Michigan,MI,2000,1,0,0,0,0,0,0,0,0,0,0,-1
Michigan,MI,2001,1,0,0,0,0,0,0,0,0,0,0,-1
Michigan,MI,2002,1,0,0,0,0,0,0,0,0,0,0,-1
Michigan,MI,2003,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,MI,2004,0,1,0,0,0,0,0,0,0,0,0,0
Michigan,MI,2005,0,1,0,0,0,0,0,0,0,0,0,0
Michigan,MI,2006,0,1,0,0,0,0,0,0,0,0,0,0
Michigan,MI,2007,0,1,0,0,0,0,0,0,0,0,0,0
Michigan,MI,2008,0,1,0,0,0,0,0,0,0,0,0,0
Michigan,MI,2009,0,1,0,0,0,0,1,0,0,0,0,1
Michigan,MI,2010,0,1,0,0,0,0,1,0,0,0,0,1
Michigan,MI,2011,0,1,0,0,0,0,1,0,0,0,0,1
Michigan,MI,2012,0,1,0,0,0,0,1,0,0,0,0,1
Michigan,MI,2013,0,1,0,0,0,0,1,0,0,0,0,1
Michigan,MI,2014,0,1,0,0,0,0,1,0,0,0,0,1
Michigan,MI,2015,0,0,1,0,0,0,1,1,0,0,0,2
Michigan,MI,2016,0,0,1,0,0,0,1,1,0,0,0,2
Michigan,MI,2017,0,0,1,0,0,0,1,1,0,0,0,2
Michigan,MI,2018,0,0,1,0,1,0,1,1,0,1,0,2
Michigan,MI,2019,0,0,1,0,1,0,1,1,0,1,0,2
Michigan,MI,2020,0,0,1,0,1,0,1,1,0,1,0,2
Minnesota,MN,1991,1,0,0,0,0,0,0,0,0,0,0,-1
Minnesota,MN,1992,1,0,0,0,0,0,0,0,0,0,0,-1
Minnesota,MN,1993,1,0,0,0,1,1,0,0,0,1,0,-1
Minnesota,MN,1994,1,0,0,0,1,1,0,0,0,1,0,-1
Minnesota,MN,1995,1,0,0,0,1,1,0,0,0,1,0,-1
Minnesota,MN,1996,1,0,0,0,1,1,0,0,0,1,0,-1
Minnesota,MN,1997,1,0,0,0,1,1,0,0,0,1,0,-1
Minnesota,MN,1998,1,0,0,0,1,1,0,0,0,1,0,-1
