state,year,same_sex,imm_couple,n,n_unweighted,n_ar,n_unweighted_ar,post_2013,group_fe
Arkansas,2016,FALSE,one,22939,210,22939,210,TRUE,Arkansas_FALSE_one
Arkansas,2016,FALSE,two,31905,228,31905,228,TRUE,Arkansas_FALSE_two
Arkansas,2016,TRUE,none,6086,70,6086,70,TRUE,Arkansas_TRUE_none
Arkansas,2016,TRUE,one,216,2,216,2,TRUE,Arkansas_TRUE_one
Arkansas,2016,TRUE,two,0,0,0,0,TRUE,Arkansas_TRUE_two
Arkansas,2017,FALSE,none,839085,8906,839085,8906,TRUE,Arkansas_FALSE_none
Arkansas,2017,FALSE,one,18416,191,18416,191,TRUE,Arkansas_FALSE_one
Arkansas,2017,FALSE,two,37632,271,37632,271,TRUE,Arkansas_FALSE_two
Arkansas,2017,TRUE,none,7910,78,7910,78,TRUE,Arkansas_TRUE_none
Arkansas,2017,TRUE,one,23,2,23,2,TRUE,Arkansas_TRUE_one
Arkansas,2017,TRUE,two,0,0,0,0,TRUE,Arkansas_TRUE_two
Arkansas,2018,FALSE,none,827393,8828,827393,8828,TRUE,Arkansas_FALSE_none
Arkansas,2018,FALSE,one,20000,190,20000,190,TRUE,Arkansas_FALSE_one
Arkansas,2018,FALSE,two,36101,244,36101,244,TRUE,Arkansas_FALSE_two
Arkansas,2018,TRUE,none,10024,109,10024,109,TRUE,Arkansas_TRUE_none
Arkansas,2018,TRUE,one,373,6,373,6,TRUE,Arkansas_TRUE_one
Arkansas,2018,TRUE,two,107,2,107,2,TRUE,Arkansas_TRUE_two
Arkansas,2019,FALSE,none,825406,8838,825406,8838,TRUE,Arkansas_FALSE_none
Arkansas,2019,FALSE,one,21153,184,21153,184,TRUE,Arkansas_FALSE_one
Arkansas,2019,FALSE,two,39171,276,39171,276,TRUE,Arkansas_FALSE_two
Arkansas,2019,TRUE,none,11155,109,11155,109,TRUE,Arkansas_TRUE_none
Arkansas,2019,TRUE,one,0,0,0,0,TRUE,Arkansas_TRUE_one
Arkansas,2019,TRUE,two,46,1,46,1,TRUE,Arkansas_TRUE_two
California,2008,FALSE,none,5963791,64460,5963791,64460,FALSE,California_FALSE_none
California,2008,FALSE,one,774427,8114,774427,8114,FALSE,California_FALSE_one
California,2008,FALSE,two,2309211,22733,2309211,22733,FALSE,California_FALSE_two
California,2008,TRUE,none,110909,1281,110909,1281,FALSE,California_TRUE_none
California,2008,TRUE,one,11816,132,11816,132,FALSE,California_TRUE_one
California,2008,TRUE,two,6580,79,6580,79,FALSE,California_TRUE_two
California,2009,FALSE,none,5948395,63585,5948395,63585,FALSE,California_FALSE_none
California,2009,FALSE,one,764855,8059,764855,8059,FALSE,California_FALSE_one
California,2009,FALSE,two,2408703,24192,2408703,24192,FALSE,California_FALSE_two
